대대분류,대분류,중분류,소분류,브랜드,오집 item_code,대산 제품명,제품명,디폴트,옵션 번들명,순서,옵션1 (규격),순서,옵션2 (재단여부),순서,옵션3 (색상),제품 색상,제조사 제품 코드,제품 규격,제품설명,활성,단위,"기본금액
 (VAT포함)",옵션 1 (규격) 추가금,"옵션 2 (재단여부) 
 추가금","옵션 3 (색상) 
 추가금",단위,"기본금액
 (VAT포함)",옵션 1 (규격) 추가금,"옵션 2 (재단여부) 
 추가금","옵션 3 (색상) 
 추가금",추가일,"추가
 완료",비고
,,,,,,,,,,,,,,YL-3,PS099,PS099,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PS100,PS100,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PS101,PS101,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PS102,PS102,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PS121,PS121,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PS122,PS122,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PS123,PS123,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PS124,PS124,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PS125,PS125,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PS127,PS127,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PS128,PS128,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PS134,PS134,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PS136,PS136,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PS137,PS137,,0,,,,,,,550,,,,,,,,
,,,,,,,,,,,,,,YL-3,PS138,PS138,,0,,,,,,,550,,,,,,,,
