대대분류,대분류,중분류,소분류,브랜드,오집 item_code,대산 제품명,제품명,디폴트,옵션 번들명,순서,옵션1 (규격),순서,옵션2 (재단여부),순서,옵션3 (색상),제품 색상,제조사 제품 코드,제품 규격,제품설명,활성,단위,"기본금액
 (VAT포함)",옵션 1 (규격) 추가금,"옵션 2 (재단여부) 
 추가금","옵션 3 (색상) 
 추가금",단위,"기본금액
 (VAT포함)",옵션 1 (규격) 추가금,"옵션 2 (재단여부) 
 추가금","옵션 3 (색상) 
 추가금",추가일,"추가
 완료",비고,,,대대분류,대분류,중분류,소분류,브랜드,제품명
,,,,,,,,,,,,,,솔리드,예림78 HS022 베이비핑크,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,솔리드,예림90 HS007 쿨그레이,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,솔리드,예림108 HS027 소프트블루,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,솔리드,예림109 HS032 샌드베이지,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,솔리드,예림110 HS029 어반블루,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,솔리드,예림111 HS034 어반카키,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,솔리드,예림112 HS030 로열블루,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,솔리드,예림114 HS005 밀크화이트,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,솔리드,예림115 HS042 소프트민트,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,솔리드,예림116 HS043 라벤더,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,솔리드,예림133 HS035 휴그린,,,,,,,,,,660,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,솔리드,예림140 HS001 순백,,,,,,,,,,660,,,,,,,,,,,,,,,,
