,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,20%,20%,40%,,,,,25%,,30%,,45%,,,,,,,,,,,,,,,
,,┏베스트┓,"┏베이직,솔리드┓","┏HP,메탈릭┓",┏매트┓,,,,┏베스트┓,"┏베이직,솔리드┓",,"┏메탈릭,HP┓",,┏매트┓,,,,,,,,,,,,,,,
브랜드,상품명,매입가,단가,단가,단가,,브랜드,상품명,공급가,단가,차액,단가,차액,단가,차액,,,베스트,,베이직,,솔리드,,HP,,메탈릭,,매트,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25년 단가표,,,,,,,25년 단가표,,,,,,,,,,,,,,,,,,,,,,
,,,,18%,25%,,,,,25%,,,,45%,,,,,,,,,,,,,,,
,,,,1.2,1.25,,,,,1.3,,,,1.45,,,,,,,,,,,,,,,
,,┏베스트┓,,┏베스트┓,"┏베이직,솔리드┓",,,,,"┏메탈릭,HP┓",,,,┏매트┓,,,,,,,,,,,,,,,
브랜드,상품명,,매입가,단가,단가,,브랜드,상품명,,단가,,,,단가,,,,,,,베스트,베이직,,솔리드,,HP,,메탈릭,매트 시트
예림,마이너스몰딩 25*15,"2,100","2,100","2,530","3,190",,예림,마이너스몰딩 25*15,660,"3,300",,770,,"3,740",,,,"1,210",,,예림6 유백,WA-03 크림월넛,,예림73 베이비그린,,HP521,,예림152 메탈그레이,HSM01  매트 화이트
예림,80라운드천장 80*15,"4,100","4,200","5,060","6,380",,예림,80라운드천장 80*15,"1,320","6,600",,"1,540",,"7,370",,,,"2,310",,,예림10 로열워시오크,WA-04 락메이플,,예림74 옐로우,,HP522,,예림153 골드,HSM02  매트 밀크화이트
예림,55라운드천장 55*12,"2,600","2,700","3,300","4,180",,예림,55라운드천장 55*12,880,"4,290",,990,,"4,840",,,,"1,540",,,예림12 연월넛,WA-09 브룩시더베이지(세로),,예림78 베이비핑크,,HP523,,,HSM03  매트 캐시미어
예림,직각 2계단 몰딩 小 50*12,"2,450","2,550","3,080","3,850",,예림,직각 2계단 몰딩 小 50*12,770,"4,070",,990,,"4,510",,,,"1,430",,,예림43 아카시아,WA-10콰트로브룩클린(세로),,예림90 쿨그레이,,HP524,,,HSM04  매트 브라운
